count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
25686;2007;Men;Men;4 x 100m Medley;Relay;Lauterstein;Andrew;AUS;Oceania;AUS;Andrew Lauterstein (AUS);Gold
25687;2007;Men;Men;4 x 100m Medley;Relay;Sullivan;Eamon;AUS;Oceania;AUS;Eamon Sullivan (AUS);Gold
25688;2007;Men;Men;4 x 100m Medley;Relay;Morita;Tomomi;JPN;Asia;JPN;Tomomi Morita (JPN);Silver
25689;2007;Men;Men;4 x 100m Medley;Relay;Kitajima;Kosuke;JPN;Asia;JPN;Kosuke Kitajima (JPN);Silver
25690;2007;Men;Men;4 x 100m Medley;Relay;Yamamoto;Takashi;JPN;Asia;JPN;Takashi Yamamoto (JPN);Silver
25691;2007;Men;Men;4 x 100m Medley;Relay;Hosokawa;Daisuke;JPN;Asia;JPN;Daisuke Hosokawa (JPN);Silver
25692;2007;Men;Men;4 x 100m Medley;Relay;Vyatchanin;Arkady;RUS;Europe;RUS;Arkady Vyatchanin (RUS);Bronze
25693;2007;Men;Men;4 x 100m Medley;Relay;Komornikov;Dmitry;RUS;Europe;RUS;Dmitry Komornikov (RUS);Bronze
25694;2007;Men;Men;4 x 100m Medley;Relay;Skvortsov;Nikolay;RUS;Europe;RUS;Nikolay Skvortsov (RUS);Bronze
25695;2007;Men;Men;4 x 100m Medley;Relay;Lagunov;Evgeny;RUS;Europe;RUS;Evgeny Lagunov (RUS);Bronze
25716;2007;Men;Men;4 x 100m Medley;Relay;Yamaguchi;Masafumi;JPN;Asia;JPN;Masafumi Yamaguchi (JPN);Silver
25721;2007;Men;Men;4 x 100m Medley;Relay;Sludnov;Roman;RUS;Europe;RUS;Roman Sludnov (RUS);Bronze
25723;2007;Men;Men;4 x 100m Medley;Relay;Kapralov;Andrey;RUS;Europe;RUS;Andrey Kapralov (RUS);Bronze
25728;2007;Men;Men;4 x 100m Medley;Relay;Stoeckel;Hayden;AUS;Oceania;AUS;Hayden Stoeckel (AUS);Gold
25730;2007;Men;Men;4 x 100m Medley;Relay;Klim;Michael;AUS;Oceania;AUS;Michael Klim (AUS);Gold
25731;2007;Men;Men;4 x 100m Medley;Relay;Monk;Kenrick;AUS;Oceania;AUS;Kenrick Monk (AUS);Gold
25840;2007;Men;Men;200m Freestyle;Individual;Phelps;Michael;USA;America;USA;Michael Phelps (USA);Gold
25841;2007;Men;Men;200m Freestyle;Individual;van den Hoogenband;Pieter;NED;Europe;NED;Pieter van den Hoogenband (NED);Silver
25842;2007;Men;Men;200m Freestyle;Individual;Park;Tae-Hwan;KOR;Asia;KOR;Tae-Hwan Park (KOR);Bronze
25981;2007;Men;Men;400m Freestyle;Individual;Park;Tae-Hwan;KOR;Asia;KOR;Tae-Hwan Park (KOR);Gold
25982;2007;Men;Men;400m Freestyle;Individual;Hackett;Grant;AUS;Oceania;AUS;Grant Hackett (AUS);Silver
25983;2007;Men;Men;400m Freestyle;Individual;Prilukov;Yury;RUS;Europe;RUS;Yury Prilukov (RUS);Bronze
26065;2007;Men;Men;800m Freestyle;Individual;Stanczyk;Przemyslaw;POL;Europe;POL;Przemyslaw Stanczyk (POL);Gold
26066;2007;Men;Men;800m Freestyle;Individual;Stevens;Craig;AUS;Oceania;AUS;Craig Stevens (AUS);Silver
26067;2007;Men;Men;800m Freestyle;Individual;Colbertaldo;Federico;ITA;Europe;ITA;Federico Colbertaldo (ITA);Bronze
